lokacija,sobno,nadstropje,leto,velikost,cena
"CELJE, OZKA ULICA 3",Drugo,P,1980,"85,00 ","122.000,00"
"CELJE, PREŠERNOVA 9",1-sobno,1,2010,"50,00 ","100.000,00"
"CELJE, SOSESKA MEDLOG",4-sobno,3,2021,"135,50 ","281.380,00"
"CELJE, TRUBARJEVA ULICA 36",3-sobno,4,1964,"71,60 ","125.000,00"
"CELJE, VRUNČEVA 1","2,5-sobno",2,1955,"98,10 ","138.800,00"
"CELJE, VRUNČEVA ULICA 25 D",1-sobno,VP,1963,"38,00 ","95.000,00"
KONJSKO,"3,5-sobno",1,1930,"79,50 ","130.000,00"
"KOZJE, DOBRA LOKACIJA V CENTRU MESTA",2-sobno,1,1907,"126,20 ","72.000,00"
LAŠKO,3-sobno,1,1850,"117,40 ","95.000,00"
MEDLOG,"3,5-sobno",M,1960,"79,80 ","109.000,00"
"MEDLOG, DEČKOVO NASELJE","2,5-sobno",2,1956,"80,00 ","149.000,00"
OJSTRIŠKA VAS,2-sobno,1,2012,"53,00 ","58.982,00"
"POLZELA, CENTER - MALTEŠKI DVORI",Garsonjera,1,2020,"36,70 ","93.300,00"
"POLZELA, CENTER POLZELE",3-sobno,4,1966,"72,40 ","109.999,00"
"PREBOLD, NA ZELENICI","2,5-sobno",3,1978,"59,00 ","129.000,00"
ROGAŠKA SLATINA,2-sobno,P,1949,"38,00 ","106.000,00"
ROGAŠKA SLATINA,2-sobno,2,1949,"38,30 ","106.000,00"
ROGAŠKA SLATINA,2-sobno,2,1901,"39,00 ","95.000,00"
ROGAŠKA SLATINA,3-sobno,3,1967,"68,59 ","89.000,00"
ROGAŠKA SLATINA,2-sobno,P,1956,"76,30 ","85.000,00"
ROGAŠKA SLATINA,3-sobno,M,1970,"89,60 ","99.000,00"
ROGAŠKA SLATINA,3-sobno,1,1820,"95,00 ","187.000,00"
ROGAŠKA SLATINA,"2,5-sobno",1,2022,"112,00 ","204.745,38"
"ROGAŠKA SLATINA, CENTER",3-sobno,1,2021,"77,40 ","194.910,00"
CELJE,Garsonjera,P,1861,"22,60 ","59.000,00"
CELJE,3-sobno,P,1861,"48,30 ","119.000,00"
"CELJE, DRAPŠINOVA ULICA",3-sobno,1,2021,"83,00 ","174.891,02"
"CELJE, DROŠINOVA ULICA, DEČKOVO NASELJE",3-sobno,3,2021,"82,50 ","186.666,05"
"CELJE, HUDINJA",4-sobno,P,2021,"141,80 ","261.000,00"
